Material;Dichte;T;c
Stahl;7800.0;;5100.0
Blei;11340.0;;1300.0
Kupfer;8960.0;20;5010.0
Aluminium;2700.0;20;6420.0
Zinn;7310.0;20;2600.0
Messing;8400.0;20;3500.0
Granit;2650.0;;3950.0
Mauerwerk;1900.0;;3480.0
Gips;2300.0;20;2300.0
Stein;2700.0;;3700.0
Marmor;2800.0;20;3000.0
Ziegel;1900.0;20;3600.0
Quarz;2650.0;20;5968.0
Diamant;3500.0;20;17500.0
Glas;2500.0;;5000.0
Kronglas;2930.0;;5300.0
Flintglas;4970.0;;4000.0
Gummi;1100.0;;54.0
Hartgummi;1200.0;;1570.0
Kautschuk;1100.0;20;50.0
Ebonit;1360.0;20;1560.0
Wasser;;0;1485.0
Wasser;1000.0;20;1440.0
Meerwasser;1025.0;20;1560.0
Eis;917.0;-4;3200.0
Aceton;790.0;25;1174.0
Methanol;791.0;25;1103.0
Ethanol;789.0;25;1207.0
Glycerin;1260.0;25;1904.0
Quecksilber;13600.0;25;1450.0
Benzol;879.0;20;1324.0
Alkohol;789.0;20;1200.0
Wasserstoff;;0;1284.0
Wasserstoff;0.08988;20;1300.0
Luft;;-140;227.0
Luft;;-100;263.0
Luft;;-20;319.0
Luft;;0;331.0
Luft;1225.0;20;344.0
Luft;;100;387.0
Helium;0.1785;20;1005.0
Kohlenmonoxid;1250.0;0;338.0
Kohlendioxid;1977.0;0;257.0
Sauerstoff;1429.0;0;314.0
Argon;1784.0;0;319.0
Ammoniak;0.771;0;415.0
Methan;0.668;0;430.0
Stickstoff;;0;334.0
Stickstoff;1250.0;20;348.0
Helium;0.1785;0;965.0
Kohlensäure;1977.0;0;258.0
Wasserdampf;0.6;110;413.0
Holz;;;
Rotbuche;780.0;;5100.0
Eiche;710.0;;4800.0
Edelkastanie;490.0;;5000.0
Fichte;470.0;;5900.0
Tanne;530.0;;5600.0
Kiefer;490.0;;5300.0
Esche;;;3900.0
Weißtanne;;;5200.0
Rottanne;;;4200.0
Lärche;620.0;;5200.0
Kork;;;500.0
